,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:43:02.200150+00:00,273,1,0.0,0
2021-07-16 16:43:02.269052+00:00,273,1,0.0,0
2021-07-16 16:43:02.350359+00:00,272,2,0.0,0
2021-07-16 16:43:02.402530+00:00,273,1,0.0,0
2021-07-16 16:43:02.466276+00:00,273,1,0.0,0
2021-07-16 16:43:02.543468+00:00,273,1,0.0,0
2021-07-16 16:43:02.626721+00:00,273,1,0.0,0
2021-07-16 16:43:02.704656+00:00,273,1,0.0,0
2021-07-16 16:43:02.780219+00:00,273,1,0.0,0
2021-07-16 16:43:02.849864+00:00,273,1,0.0,0
2021-07-16 16:43:02.922190+00:00,273,1,0.0,0
2021-07-16 16:43:02.989417+00:00,273,1,0.0,0
2021-07-16 16:43:03.056827+00:00,273,1,0.0,0
2021-07-16 16:43:03.129039+00:00,273,1,0.0,0
2021-07-16 16:43:03.201575+00:00,273,1,0.0,0
2021-07-16 16:43:03.277887+00:00,273,1,0.0,0
2021-07-16 16:43:03.350293+00:00,273,1,0.0,0
2021-07-16 16:43:03.420699+00:00,273,1,0.0,0
2021-07-16 16:43:03.491043+00:00,273,1,0.0,0
2021-07-16 16:43:03.566774+00:00,273,1,0.0,0
2021-07-16 16:43:03.634092+00:00,273,1,0.0,0
2021-07-16 16:43:03.708287+00:00,273,1,0.0,0
2021-07-16 16:43:03.774781+00:00,273,1,0.0,0
2021-07-16 16:43:03.850333+00:00,273,1,0.0,0
2021-07-16 16:43:03.926865+00:00,273,1,0.0,0
2021-07-16 16:43:04.012915+00:00,273,1,0.0,0
2021-07-16 16:43:04.087205+00:00,273,1,0.0,0
2021-07-16 16:43:04.145830+00:00,273,1,0.0,0
2021-07-16 16:43:04.219937+00:00,273,1,0.0,0
2021-07-16 16:43:04.297258+00:00,273,1,0.0,0
2021-07-16 16:43:04.370388+00:00,273,1,0.0,0
2021-07-16 16:43:04.445104+00:00,273,1,0.0,0
2021-07-16 16:43:04.515247+00:00,273,1,0.0,0
2021-07-16 16:43:04.592512+00:00,273,1,0.0,0
2021-07-16 16:43:04.657074+00:00,272,2,0.0,0
2021-07-16 16:43:04.714245+00:00,273,1,0.0,0
2021-07-16 16:43:04.785247+00:00,273,1,0.0,0
2021-07-16 16:43:04.866647+00:00,273,1,0.0,0
2021-07-16 16:43:04.931521+00:00,273,1,0.0,0
2021-07-16 16:43:05.000915+00:00,273,1,0.0,0
2021-07-16 16:43:05.083284+00:00,273,1,0.0,0
2021-07-16 16:43:05.156906+00:00,273,1,0.0,0
2021-07-16 16:43:05.224900+00:00,272,2,0.0,0
2021-07-16 16:43:05.282807+00:00,273,1,0.0,0
2021-07-16 16:43:05.352368+00:00,273,1,0.0,0
2021-07-16 16:43:05.425813+00:00,273,1,0.0,0
2021-07-16 16:43:05.499296+00:00,273,1,0.0,0
2021-07-16 16:43:05.561537+00:00,273,1,0.0,0
2021-07-16 16:43:05.629802+00:00,273,1,0.0,0
2021-07-16 16:43:05.701781+00:00,273,1,0.0,0
2021-07-16 16:43:05.769799+00:00,273,1,0.0,0
2021-07-16 16:43:05.842508+00:00,273,1,0.0,0
2021-07-16 16:43:05.918788+00:00,273,1,0.0,0
2021-07-16 16:43:05.994116+00:00,273,1,0.0,0
2021-07-16 16:43:06.124059+00:00,273,1,0.0,0
2021-07-16 16:43:06.191772+00:00,273,1,0.0,0
2021-07-16 16:43:06.262171+00:00,273,1,0.0,0
2021-07-16 16:43:06.330430+00:00,273,1,0.0,0
2021-07-16 16:43:06.400916+00:00,273,1,0.0,0
2021-07-16 16:43:06.469609+00:00,273,1,0.0,0
2021-07-16 16:43:06.545321+00:00,273,1,0.0,0
2021-07-16 16:43:06.618875+00:00,273,1,0.0,0
2021-07-16 16:43:06.685630+00:00,273,1,0.0,0
2021-07-16 16:43:06.763439+00:00,273,1,0.0,0
2021-07-16 16:43:06.836249+00:00,273,1,0.0,0
2021-07-16 16:43:06.901626+00:00,273,1,0.0,0
2021-07-16 16:43:06.977311+00:00,273,1,0.0,0
2021-07-16 16:43:07.052518+00:00,273,1,0.0,0
2021-07-16 16:43:07.127336+00:00,273,1,0.0,0
2021-07-16 16:43:07.199694+00:00,273,1,0.0,0
2021-07-16 16:43:07.274756+00:00,273,1,0.0,0
2021-07-16 16:43:07.346565+00:00,273,1,0.0,0
2021-07-16 16:43:07.421724+00:00,273,1,0.0,0
2021-07-16 16:43:07.496697+00:00,273,1,0.0,0
2021-07-16 16:43:07.567000+00:00,273,1,0.0,0
2021-07-16 16:43:07.641010+00:00,273,1,0.0,0
2021-07-16 16:43:07.711161+00:00,273,1,0.0,0
2021-07-16 16:43:07.781046+00:00,273,1,0.0,0
